Qoil,Qwater,Qgas,BHP,WHP,WHT,Tsep,Psep,Choke_in
954.6,0,2.39,5410.33,3185.75,83.3,60.32,100,0.25
801.9,200.5,2.01,5388,3015.38,86.88,60.65,100,0.25
634.7,423.2,1.59,5391.13,2808.8,90.83,61.19,100,0.25
448.1,672.2,1.12,5405.72,2515.99,95.11,61.97,100,0.25
238.9,955.7,0.6,5433.8,2059.65,99.88,63.1,100,0.25
954.6,0,2.39,5410.33,3185.75,83.3,60.32,200,0.25
801.9,200.5,2.01,5388,3015.38,86.88,60.65,200,0.25
634.7,423.2,1.59,5391.13,2808.8,90.83,61.19,200,0.25
448.1,672.2,1.12,5405.72,2515.99,95.11,61.97,200,0.25
238.9,955.7,0.6,5433.8,2059.65,99.88,63.1,200,0.25
954.6,0,2.39,5410.33,3185.75,83.3,60.32,300,0.25
801.9,200.5,2.01,5388,3015.38,86.88,60.65,300,0.25
634.7,423.2,1.59,5391.13,2808.8,90.83,61.19,300,0.25
448.1,672.2,1.12,5405.72,2515.99,95.11,61.97,300,0.25
238.9,955.7,0.6,5433.8,2059.65,99.88,63.1,300,0.25
954.6,0,2.39,5410.33,3185.75,83.3,60.32,400,0.25
801.9,200.5,2.01,5388,3015.38,86.88,60.65,400,0.25
634.7,423.2,1.59,5391.13,2808.8,90.83,61.19,400,0.25
448.1,672.2,1.12,5405.72,2515.99,95.11,61.97,400,0.25
238.9,955.7,0.6,5433.8,2059.65,99.88,63.1,400,0.25
954.6,0,2.39,5410.33,3185.75,83.3,60.32,500,0.25
801.9,200.5,2.01,5388,3015.38,86.88,60.65,500,0.25
634.7,423.2,1.59,5391.13,2808.8,90.83,61.19,500,0.25
448.1,672.2,1.12,5405.72,2515.99,95.11,61.97,500,0.25
238.9,955.7,0.6,5433.8,2059.65,99.88,63.1,500,0.25
954.6,0,2.39,5410.33,3185.75,83.3,60.32,600,0.25
801.9,200.5,2.01,5388,3015.38,86.88,60.65,600,0.25
634.7,423.2,1.59,5391.13,2808.8,90.83,61.19,600,0.25
448.1,672.2,1.12,5405.72,2515.99,95.11,61.97,600,0.25
238.9,955.7,0.6,5433.8,2059.65,99.88,63.1,600,0.25
1525.4,0,3.81,5294.09,3085.39,96.71,61.73,100,0.32
1284.8,321.2,3.21,5257.71,2876.79,102.25,62.79,100,0.32
1024.2,682.8,2.56,5261.18,2648.7,108.41,64.4,100,0.32
725.4,1088.1,1.81,5284.38,2381.27,114.27,66.99,100,0.32
386.5,1546,0.97,5330.71,1959.6,120.33,70.22,100,0.32
1525.4,0,3.81,5294.09,3085.39,96.71,61.73,200,0.32
1284.8,321.2,3.21,5257.71,2876.79,102.25,62.79,200,0.32
1024.2,682.8,2.56,5261.18,2648.7,108.41,64.4,200,0.32
725.4,1088.1,1.81,5284.38,2381.27,114.27,66.99,200,0.32
386.5,1546,0.97,5330.71,1959.6,120.33,70.22,200,0.32
1525.4,0,3.81,5294.09,3085.39,96.71,61.73,300,0.32
1284.8,321.2,3.21,5257.71,2876.79,102.25,62.79,300,0.32
1024.2,682.8,2.56,5261.18,2648.7,108.41,64.4,300,0.32
725.4,1088.1,1.81,5284.38,2381.27,114.27,66.99,300,0.32
386.5,1546,0.97,5330.71,1959.6,120.33,70.22,300,0.32
1525.4,0,3.81,5294.09,3085.39,96.71,61.73,400,0.32
1284.8,321.2,3.21,5257.71,2876.79,102.25,62.79,400,0.32
1024.2,682.8,2.56,5261.18,2648.7,108.41,64.4,400,0.32
725.4,1088.1,1.81,5284.38,2381.27,114.27,66.99,400,0.32
386.5,1546,0.97,5330.71,1959.6,120.33,70.22,400,0.32
1525.4,0,3.81,5294.09,3085.39,96.71,61.73,500,0.32
1284.8,321.2,3.21,5257.71,2876.79,102.25,62.79,500,0.32
1024.2,682.8,2.56,5261.18,2648.7,108.41,64.4,500,0.32
725.4,1088.1,1.81,5284.38,2381.27,114.27,66.99,500,0.32
386.5,1546,0.97,5330.71,1959.6,120.33,70.22,500,0.32
1525.4,0,3.81,5294.09,3085.39,96.71,61.73,600,0.32
1284.8,321.2,3.21,5257.71,2876.79,102.25,62.79,600,0.32
1024.2,682.8,2.56,5261.18,2648.7,108.41,64.4,600,0.32
725.4,1088.1,1.81,5284.38,2381.27,114.27,66.99,600,0.32
386.5,1546,0.97,5330.71,1959.6,120.33,70.22,600,0.32
2369,0,5.92,5118.2,2857.94,114.14,66.9,100,0.42
1979.3,494.8,4.95,5066.03,2661.24,120.74,69.95,100,0.42
1568.5,1045.6,3.92,5076.05,2469.63,127.48,74.07,100,0.42
1108.9,1663.3,2.77,5114.68,2217.26,133.98,79.01,100,0.42
590.2,2361,1.48,5187.74,1817.41,140.5,84.65,100,0.42
2369,0,5.92,5118.2,2857.94,114.14,66.9,200,0.42
1979.3,494.8,4.95,5066.03,2661.24,120.74,69.95,200,0.42
1568.5,1045.6,3.92,5076.05,2469.63,127.48,74.07,200,0.42
1108.9,1663.3,2.77,5114.68,2217.27,133.98,79.01,200,0.42
590.2,2361,1.48,5187.74,1817.41,140.5,84.65,200,0.42
2369,0,5.92,5118.2,2857.94,114.14,66.9,300,0.42
1979.3,494.8,4.95,5066.03,2661.24,120.74,69.95,300,0.42
1568.5,1045.6,3.92,5076.05,2469.63,127.48,74.07,300,0.42
1108.9,1663.3,2.77,5114.68,2217.27,133.98,79.01,300,0.42
590.2,2361,1.48,5187.74,1817.41,140.5,84.65,300,0.42
2369,0,5.92,5118.2,2857.94,114.14,66.9,400,0.42
1979.3,494.8,4.95,5066.03,2661.24,120.74,69.95,400,0.42
1568.5,1045.6,3.92,5076.05,2469.64,127.48,74.07,400,0.42
1108.9,1663.3,2.77,5114.68,2217.26,133.98,79.01,400,0.42
590.2,2361,1.48,5187.74,1817.41,140.5,84.65,400,0.42
2369,0,5.92,5118.2,2857.94,114.14,66.9,500,0.42
1979.3,494.8,4.95,5066.03,2661.24,120.74,69.95,500,0.42
1568.5,1045.6,3.92,5076.05,2469.64,127.48,74.07,500,0.42
1108.9,1663.3,2.77,5114.68,2217.26,133.98,79.01,500,0.42
590.2,2361,1.48,5187.74,1817.41,140.5,84.65,500,0.42
2369,0,5.92,5118.2,2857.94,114.14,66.9,600,0.42
1979.3,494.8,4.95,5066.03,2661.24,120.74,69.95,600,0.42
1568.5,1045.6,3.92,5076.05,2469.63,127.48,74.07,600,0.42
1108.9,1663.3,2.77,5114.68,2217.26,133.98,79.01,600,0.42
590.2,2361,1.48,5187.74,1817.41,140.5,84.65,600,0.42
3426.9,0,8.57,4890.03,2514.22,131.43,76.78,100,0.54
2834.2,708.5,7.09,4822.11,2344.7,137.62,81.84,100,0.54
2240.7,1493.8,5.6,4841.81,2182.15,144.29,88.06,100,0.54
1585.4,2378.1,3.96,4900.73,1958.29,150.93,94.99,100,0.54
844.5,3378.1,2.11,5008.27,1598.62,157.41,102.45,100,0.54
3426.9,0,8.57,4890.03,2514.22,131.43,76.78,200,0.54
2834.2,708.5,7.09,4822.11,2344.7,137.62,81.84,200,0.54
2240.7,1493.8,5.6,4841.82,2182.15,144.29,88.06,200,0.54
1585.4,2378.1,3.96,4900.73,1958.29,150.93,94.99,200,0.54
844.5,3378.1,2.11,5008.27,1598.62,157.41,102.45,200,0.54
3426.9,0,8.57,4890.03,2514.22,131.43,76.78,300,0.54
2834.2,708.5,7.09,4822.11,2344.7,137.62,81.84,300,0.54
2240.7,1493.8,5.6,4841.82,2182.15,144.29,88.06,300,0.54
1585.4,2378.1,3.96,4900.73,1958.29,150.93,94.99,300,0.54
844.5,3378.1,2.11,5008.27,1598.62,157.41,102.45,300,0.54
3426.9,0,8.57,4890.03,2514.22,131.43,76.78,400,0.54
2834.2,708.5,7.09,4822.11,2344.7,137.62,81.84,400,0.54
2240.7,1493.8,5.6,4841.82,2182.15,144.29,88.06,400,0.54
1585.4,2378.1,3.96,4900.73,1958.29,150.93,94.99,400,0.54
844.5,3378.1,2.11,5008.27,1598.62,157.41,102.45,400,0.54
3426.9,0,8.57,4890.03,2514.22,131.43,76.78,500,0.54
2834.2,708.5,7.09,4822.11,2344.7,137.62,81.84,500,0.54
2240.7,1493.8,5.6,4841.82,2182.15,144.29,88.06,500,0.54
1585.4,2378.1,3.96,4900.73,1958.29,150.93,94.99,500,0.54
844.5,3378.1,2.11,5008.27,1598.62,157.41,102.45,500,0.54
3426.9,0,8.57,4890.03,2514.22,131.43,76.78,600,0.54
